,state,confirmed,deaths,percent
0,Alabama,19072,653,3.4238674496644292
1,Alaska,512,10,1.953125
2,Arizona,22886,999,4.365114043520056
3,Arkansas,8425,151,1.7922848664688427
4,California,122168,4444,3.637613777748674
5,Colorado,27346,1512,5.529145030351788
6,Connecticut,43239,4007,9.267096833876824
7,Delaware,9746,386,3.9605992201928992
8,District of Columbia,9120,475,5.208333333333334
9,Florida,60183,2607,4.3317880464583025
10,Georgia,49859,2149,4.310154636073728
11,Hawaii,655,17,2.595419847328244
12,Idaho,2990,83,2.7759197324414715
13,Illinois,124759,5736,4.597664296764161
14,Indiana,36096,2231,6.18074024822695
15,Iowa,20806,583,2.802076324137268
16,Kansas,10167,227,2.232713681518639
17,Kentucky,10705,458,4.27837459131247
18,Louisiana,41562,2883,6.936624801501372
19,Maine,2446,95,3.883892068683565
20,Maryland,55858,2668,4.776397293136167
21,Massachusetts,102063,7201,7.055446146007858
22,Michigan,58241,5595,9.606634501468038
23,Minnesota,26273,1126,4.285768659840902
24,Mississippi,16560,794,4.794685990338164
25,Missouri,14438,795,5.506302812023826
26,Montana,539,17,3.153988868274583
27,Nebraska,15139,187,1.23522029196116
28,Nevada,9111,429,4.708594007243991
29,New Hampshire,4876,273,5.598851517637407
30,New Jersey,162530,11970,7.364794191841506
31,New Mexico,8353,383,4.585178977612834
32,New York,375133,30174,8.043547221918626
33,North Carolina,32075,1006,3.1363990646921276
34,North Dakota,2706,66,2.4390243902439024
35,Ohio,37282,2340,6.276487312912398
36,Oklahoma,6907,344,4.980454611263935
37,Oregon,4474,159,3.553866785873938
38,Pennsylvania,78335,5832,7.444947979830216
39,Rhode Island,15325,756,4.933115823817292
40,South Carolina,12415,501,4.035440998791784
41,South Dakota,5162,62,1.2010848508330105
42,Tennessee,25190,401,1.591901548233426
43,Texas,70555,1776,2.517185174686415
44,Utah,10813,117,1.0820308887450292
45,Vermont,1026,55,5.360623781676413
46,Virginia,47856,1445,3.019475091942494
47,Washington,22729,1138,5.006819481719389
48,West Virginia,2102,79,3.758325404376784
49,Wisconsin,19892,626,3.1469937663382264
50,Wyoming,921,17,1.8458197611292075
