,state,population,population_density
0,California,39937489,256.3727
1,Texas,29472295,112.8204
2,Florida,21992985,410.1256
3,New York,19440469,412.5211
4,Pennsylvania,12820878,286.5449
5,Illinois,12659682,228.0243
6,Ohio,11747694,287.5038
7,Georgia,10736059,186.6719
8,North Carolina,10611862,218.2702
9,Michigan,10045029,177.6655
10,New Jersey,8936574,1215.1991
11,Virginia,8626207,218.4403
12,Washington,7797095,117.3272
13,Arizona,7378494,64.955
14,Massachusetts,6976597,894.4355
15,Tennessee,6897576,167.2748
16,Indiana,6745354,188.281
17,Missouri,6169270,89.7453
18,Maryland,6083116,626.6731
19,Wisconsin,5851754,108.0497
20,Colorado,5845526,56.4011
21,Minnesota,5700671,71.5922
22,South Carolina,5210095,173.3174
23,Alabama,4908621,96.9221
24,Louisiana,4645184,107.5175
25,Kentucky,4499692,113.9566
26,Oregon,4301089,44.8086
27,Oklahoma,3954821,57.6547
28,Connecticut,3563077,735.8689
29,Utah,3282115,39.943
30,Iowa,3179849,56.9284
31,Nevada,3139658,28.5993
32,Arkansas,3038999,58.403
33,Puerto Rico,3032165,876.6016
34,Mississippi,2989260,63.7056
35,Kansas,2910357,35.5968
36,New Mexico,2096640,17.285
37,Nebraska,1952570,25.4161
38,Idaho,1826156,22.0969
39,West Virginia,1778070,73.9691
40,Hawaii,1412687,219.9419
41,New Hampshire,1371246,153.1605
42,Maine,1345790,43.6336
43,Montana,1086759,7.4668
44,Rhode Island,1056161,1021.4323
45,Delaware,982895,504.3073
46,South Dakota,903027,11.9116
47,North Dakota,761723,11.0393
48,Alaska,734002,1.2863
49,District of Columbia,720687,11814.541
50,Vermont,628061,68.1416
51,Wyoming,567025,5.84
